,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,1484,1506,1510,1585,1589,1615,CSA-3-S-055,CSA-3-S-090,CSA-3-S-30,CSA-3-S-31
ENSG00000171848,243.1347721,-3.826121153,1.061071613,-3.605902848,0.00031107,0.004884187,RRM2,11.55236233,18.31544638,78.63597416,49.48003792,11.72095505,85.48404302,139.8953592,16.19076337,1193.267636,826.805144
ENSG00000088325,209.4965591,-3.822015625,0.944243311,-4.04770209,5.17E-05,0.001458714,TPX2,27.91820896,6.868292392,17.09477699,73.71515853,35.16286516,63.878186,198.8595188,33.39344944,884.7897144,753.2854205
ENSG00000110680,59.00877015,-3.798005803,0.70028026,-5.423551137,5.84E-08,1.12E-05,CALCA,4.813484303,2.289430797,20.51373239,4.039186769,9.652551221,26.30278247,248.5743985,23.27422234,94.83611779,155.7917949
ENSG00000271647,23.92045996,-3.795385202,0.866879101,-4.378217445,1.20E-05,0.000537181,KRT8P47,1.925393721,11.44715399,13.67582159,0,0.689467944,28.18155265,107.5228794,6.071536262,27.09603366,42.59476042
ENSG00000108932,200.3436339,-3.773212315,0.649588505,-5.808619278,6.30E-09,2.41E-06,SLC16A6,17.32854349,34.34146196,23.93268779,36.35268092,15.85776272,40.39355879,157.237759,96.13265749,506.4873983,1075.371828
ENSG00000184357,345.8401841,-3.742013615,1.016054276,-3.682887521,0.000230607,0.003967512,H1-5,30.80629954,27.47316957,13.67582159,172.6752344,38.61020488,93.93850882,235.8566386,51.60805823,1704.96581,1088.792095
ENSG00000134042,61.78719245,-3.733001362,1.100495744,-3.392108857,0.000693569,0.00822079,MRO,6.738878024,0,3.418955398,31.30369746,17.92616655,55.4237202,20.81087987,20.23845421,268.8760263,193.1351465
ENSG00000146070,39.05739638,-3.732983527,1.290546119,-2.892561119,0.003821148,0.026478017,PLA2G7,3.850787443,0,3.418955398,8.078373537,4.82627561,19.72708685,4.624639972,2.023845421,75.03517012,268.9888295
ENSG00000172602,108.5215688,-3.716890035,0.602637492,-6.167704602,6.93E-10,4.13E-07,RND1,25.99281524,16.02601558,6.837910797,8.078373537,9.652551221,24.42401229,472.8694371,308.6364267,80.24594583,132.4522002
ENSG00000119508,630.2479065,-3.68252036,0.471425499,-7.811457738,5.65E-15,2.11E-11,NR4A3,53.9110242,122.4845477,104.2781397,112.0874328,69.63626238,221.6948808,1631.34175,1137.401126,853.5250602,1996.118841
ENSG00000275713,101.5349667,-3.674202501,1.167995856,-3.145732481,0.001656715,0.014961122,H2BC9,23.10472466,4.578861595,0,72.70536183,12.410423,50.72679476,99.4297594,13.15499523,409.5669703,329.6717758
ENSG00000006128,68.5615723,-3.67117945,0.662886944,-5.538168285,3.06E-08,7.01E-06,TAC1,4.813484303,9.157723189,6.837910797,4.039186769,24.13137805,9.393850882,134.1145592,200.3606967,108.3841346,184.3827985
ENSG00000100162,25.48794432,-3.668918348,0.941370023,-3.897424244,9.72E-05,0.002193917,CENPM,0,4.578861595,0,4.039186769,9.652551221,22.54524212,21.96703987,2.023845421,108.3841346,81.68858162
ENSG00000125538,24.37364173,-3.665034149,0.708473277,-5.173143815,2.30E-07,3.01E-05,IL1B,3.850787443,2.289430797,0,6.058780153,2.068403833,119.3019062,11.56159993,35.41729486,22.92741309,40.26080094
ENSG00000156970,83.67704848,-3.65140489,1.091024358,-3.346767524,0.000817597,0.009193233,BUB1B,11.55236233,2.289430797,6.837910797,43.42125776,9.652551221,30.06032282,39.30943976,8.095381683,380.3866263,305.1652013
ENSG00000203747,493.5166452,-3.645635091,0.61886938,-5.89079895,3.84E-09,1.64E-06,FCGR3A,50.06023675,20.60487718,75.21701877,110.0678394,117.2095505,474.3894695,265.9167984,189.2295468,1853.993995,1778.47712
ENSG00000072571,86.61840582,-3.630829611,1.083272557,-3.351723063,0.000803103,0.00908903,HMMR,5.776181164,13.73658478,6.837910797,32.31349415,6.894679443,16.90893159,48.55871971,7.083458973,434.5786936,293.495404
ENSG00000090104,1208.128567,-3.620495005,0.847530273,-4.271817917,1.94E-05,0.000751591,RGS1,75.09035513,93.86666269,92.31179576,531.1530601,216.4929345,273.3610607,531.8335968,2760.525154,2971.184306,4535.466749
ENSG00000124762,3535.631424,-3.609943375,0.43358927,-8.325721202,8.38E-17,5.00E-13,CDKN1A,776.8963665,520.8455064,396.5988262,454.4085115,386.1020488,1792.346748,14994.23895,6072.548185,3898.702381,6063.626716
ENSG00000274641,119.909015,-3.605640379,1.206720428,-2.987966638,0.002808402,0.02141685,H2BC17,16.36584663,20.60487718,0,50.48983461,8.273615332,37.57540353,87.86815947,12.14307252,466.885503,498.8838377
ENSG00000185130,78.22288633,-3.584060624,0.995207126,-3.601321304,0.000316604,0.004943932,H2BC13,11.55236233,9.157723189,0,26.254714,23.44191011,31.939093,60.12031964,24.28614505,333.489645,261.986951
ENSG00000139572,22.37592042,-3.552545794,0.694297527,-5.116748449,3.11E-07,3.75E-05,GPR84,3.850787443,2.289430797,0,6.058780153,2.757871777,39.4541737,25.43551985,10.1192271,37.51758506,96.27582834
ENSG00000113368,346.7110487,-3.535964813,0.440224429,-8.032186723,9.58E-16,4.29E-12,LMNB1,47.17214617,38.92032355,44.44642018,90.88170229,58.60477527,306.2395387,920.3033544,195.3010831,919.180834,846.0603096
ENSG00000007908,591.1816077,-3.533227849,0.84584976,-4.177134066,2.95E-05,0.000987661,SELE,264.7416367,59.52520073,17.09477699,128.2441799,44.12594844,956.2940198,1494.914871,2621.891743,107.3419795,217.641721
ENSG00000154839,32.10424893,-3.479189599,1.229957319,-2.828707586,0.004673638,0.030333366,SKA1,3.850787443,11.44715399,0,8.078373537,2.757871777,1.878770176,20.81087987,6.071536262,169.8712879,96.27582834
ENSG00000121552,23.28104302,-3.469990284,0.943131982,-3.679220247,0.000233948,0.004012655,CSTA,1.925393721,0,0,14.13715369,5.515743555,22.54524212,4.624639972,18.21460879,57.31853273,108.5291156
ENSG00000242707,5.392451336,-3.459226905,1.150347547,-3.007114602,0.002637403,0.020463557,RN7SL362P,0.962696861,0,0,1.009796692,2.068403833,0.939385088,8.093119951,4.047690842,9.379396265,27.42402383
ENSG00000239948,9.386621025,-3.437766186,1.017747327,-3.377818929,0.000730632,0.008504542,RN7SL368P,0,4.578861595,0,2.019593384,1.378935889,0.939385088,34.68479979,7.083458973,14.59017197,28.59100357
ENSG00000135047,3676.787266,-3.434221533,0.442007503,-7.769600079,7.87E-15,2.61E-11,CTSL,637.3053217,447.5837209,270.0974765,1219.834404,768.06729,2851.033743,7054.888277,2541.949848,12397.47755,8579.635029
ENSG00000112742,79.51088983,-3.421511637,1.235703139,-2.768878323,0.005624964,0.034270922,TTK,16.36584663,9.157723189,0,52.50942799,6.205211499,25.36339738,40.46559976,7.083458973,392.892488,245.0657449
ENSG00000148773,720.5510965,-3.416654328,1.000890995,-3.413612817,0.000641076,0.00780338,MKI67,79.90383943,61.81463153,158.981426,268.6059201,48.2627561,228.2705764,616.2332763,50.59613552,3027.460683,2665.38172
ENSG00000159399,772.4054795,-3.397645153,0.832479077,-4.081358013,4.48E-05,0.001323611,HK2,104.9339578,100.7349551,58.12224177,292.8410407,97.21498015,140.9077632,1072.916474,473.5798285,1377.729096,4005.074459
ENSG00000101447,32.82798999,-3.387678369,0.865541565,-3.913940713,9.08E-05,0.002096674,FAM83D,5.776181164,6.868292392,5.128433098,11.10776361,0,5.636310529,32.3724798,11.13114981,127.1429272,123.1163623
ENSG00000112394,630.0345638,-3.383289244,0.849990503,-3.98038476,6.88E-05,0.001756029,SLC16A10,70.27687083,122.4845477,37.60850938,201.9593384,133.7567812,81.72650267,1096.039673,253.9926003,2144.755279,2157.745534
ENSG00000125148,8445.274512,-3.345449931,0.510053295,-6.559020331,5.42E-11,5.08E-08,MT2A,766.3067011,1670.139767,482.0727112,3265.682502,1438.230132,5835.460168,34748.38859,9854.103354,9300.192475,17092.16872
ENSG00000089685,117.9918449,-3.316444654,1.035505803,-3.202729184,0.001361319,0.013073753,BIRC5,8.664271746,8.013007791,64.96015257,25.2449173,10.34201917,42.27232897,84.39967949,8.095381683,471.0541236,456.8725672
ENSG00000251230,15.0960846,-3.311734959,0.841309381,-3.936405603,8.27E-05,0.001982009,MIR3945HG,3.850787443,0,0,10.09796692,2.757871777,5.636310529,21.96703987,17.20268608,37.51758506,51.93059831
ENSG00000265531,20.53354935,-3.310089703,0.925013503,-3.578423116,0.000345674,0.005215048,FCGR1CP,2.888090582,2.289430797,0,10.09796692,3.447339722,70.45388161,6.936959958,1.01192271,70.86654956,37.3433516
ENSG00000275993,612.5076085,-3.302909389,0.858237804,-3.848478097,0.000118854,0.002532064,LOC102724428,16.36584663,369.7430738,201.7183685,64.6269883,79.2888136,158.7560799,2209.421747,1457.168703,744.0987704,823.8876946
ENSG00000148848,874.1039212,-3.288615047,0.61225459,-5.371319547,7.82E-08,1.32E-05,ADAM12,125.1505919,90.43251649,109.4065727,477.6338354,59.29424321,838.8708837,1691.46207,220.5991509,2811.734569,2316.454779
ENSG00000181260,7.346767631,-3.252742222,0.870934808,-3.73477118,0.000187886,0.003450943,MTHFD2P7,2.888090582,0,0,1.009796692,3.447339722,5.636310529,30.06015982,7.083458973,14.59017197,8.752348031
ENSG00000142178,257.5567614,-3.23693991,0.859147658,-3.767617686,0.000164813,0.00316175,SIK1,39.47057129,40.06503895,20.51373239,121.1756031,40.67860872,16.90893159,386.1574377,250.9568322,768.0683386,891.5725194
ENSG00000122862,1786.904063,-3.233055512,0.583180278,-5.543835472,2.96E-08,6.84E-06,SRGN,382.1906537,127.0634093,194.8804577,913.8660064,266.8240945,1159.201199,1284.493752,1519.907911,5055.494587,6965.118563
ENSG00000263426,17.25788532,-3.220508368,0.86572372,-3.720018633,0.000199208,0.003589582,RN7SL471P,3.850787443,0,0,8.078373537,4.136807666,17.84831668,6.936959958,16.19076337,29.18034394,86.35650057
ENSG00000102265,4472.857746,-3.215884009,0.538784299,-5.968778259,2.39E-09,1.15E-06,TIMP1,1190.856017,689.11867,403.436737,1431.891709,809.4353667,3142.24312,12673.82584,1494.609843,6952.216943,15940.94321
ENSG00000280587,219.697855,-3.200494141,0.583000299,-5.489695542,4.03E-08,8.70E-06,LINC01348,20.21663407,46.93333134,37.60850938,36.35268092,31.0260575,77.96896232,1228.998073,399.7094706,188.6300804,129.5347509
ENSG00000179750,23.89851079,-3.168346024,0.918032637,-3.451234626,0.000558028,0.007114979,APOBEC3B,7.701574885,3.434146196,0,9.088170229,0.689467944,6.575695617,16.1862399,7.083458973,45.85482619,142.371528
ENSG00000184557,4166.384889,-3.165503041,0.509540477,-6.2124663,5.22E-10,3.24E-07,SOCS3,877.9795369,1279.791816,348.7334506,1160.256399,307.5027032,3106.546487,15423.17431,10160.71593,2830.493362,6168.654892
ENSG00000059804,3800.359068,-3.154588216,0.488854676,-6.453018395,1.10E-10,9.34E-08,SLC2A3,812.5161504,1002.770689,613.702494,848.2292214,502.6221314,1153.564888,6790.127639,5298.427312,5203.480617,15778.14954
